x,y,yaw
-1.471883583068847656e+01,-4.798480033874511719e+00,3.405658960342407227e+00
-1.491186332702636719e+01,-4.850672721862792969e+00,3.405677080154418945e+00
-1.510488986968994141e+01,-4.902868747711181641e+00,3.405694007873535156e+00
-1.529791545867919922e+01,-4.955068111419677734e+00,3.405709981918334961e+00
-1.549094009399414062e+01,-5.007270336151123047e+00,3.405725002288818359e+00
-1.568396472930908203e+01,-5.059475421905517578e+00,3.405738830566406250e+00
-1.587698745727539062e+01,-5.111682891845703125e+00,3.405751705169677734e+00
-1.607001113891601562e+01,-5.163892745971679688e+00,3.405763387680053711e+00
-1.626303291320800781e+01,-5.216104984283447266e+00,3.405774116516113281e+00
-1.645605468750000000e+01,-5.268319129943847656e+00,3.405783653259277344e+00
-1.664907455444335938e+01,-5.320535182952880859e+00,3.405792236328125000e+00
-1.684209632873535156e+01,-5.372752666473388672e+00,3.405799388885498047e+00
-1.703511619567871094e+01,-5.424971103668212891e+00,3.405805587768554688e+00
-1.722813606262207031e+01,-5.477190971374511719e+00,3.405810594558715820e+00
-1.742115592956542969e+01,-5.529411792755126953e+00,3.405814409255981445e+00
-1.761417579650878906e+01,-5.581632614135742188e+00,3.405817031860351562e+00
-1.780719566345214844e+01,-5.633854389190673828e+00,3.405818462371826172e+00
-1.800021553039550781e+01,-5.686076164245605469e+00,3.405818700790405273e+00
-1.819323539733886719e+01,-5.738297939300537109e+00,3.405817747116088867e+00
-1.838625526428222656e+01,-5.790519237518310547e+00,3.405815601348876953e+00
-1.857927513122558594e+01,-5.842740058898925781e+00,3.405812025070190430e+00
-1.877229499816894531e+01,-5.894960403442382812e+00,3.405807256698608398e+00
-1.896531486511230469e+01,-5.947179317474365234e+00,3.405801296234130859e+00
-1.915833473205566406e+01,-5.999396800994873047e+00,3.405793905258178711e+00
-1.935135650634765625e+01,-6.051613330841064453e+00,3.405785322189331055e+00
-1.954437828063964844e+01,-6.103827476501464844e+00,3.405775547027587891e+00
-1.973740005493164062e+01,-6.156040191650390625e+00,3.405764341354370117e+00
-1.993042373657226562e+01,-6.208250045776367188e+00,3.405751943588256836e+00
-2.012344741821289062e+01,-6.260457992553710938e+00,3.405738115310668945e+00
-2.031647109985351562e+01,-6.312662601470947266e+00,3.405722856521606445e+00
-2.050949478149414062e+01,-6.364864349365234375e+00,3.405706405639648438e+00
-2.070252227783203125e+01,-6.417062759399414062e+00,3.405688524246215820e+00
-2.089554786682128906e+01,-6.469257354736328125e+00,3.405669212341308594e+00
-2.108857536315917969e+01,-6.521448612213134766e+00,3.405648946762084961e+00
-2.128160476684570312e+01,-6.573635578155517578e+00,3.405627250671386719e+00
-2.147463607788085938e+01,-6.625818252563476562e+00,3.405604839324951172e+00
-2.166766738891601562e+01,-6.677996635437011719e+00,3.405581712722778320e+00
-2.186069869995117188e+01,-6.730170249938964844e+00,3.405558109283447266e+00
-2.205373382568359375e+01,-6.782339572906494141e+00,3.405534505844116211e+00
-2.224676895141601562e+01,-6.834504127502441406e+00,3.405510902404785156e+00
-2.243980407714843750e+01,-6.886664390563964844e+00,3.405487537384033203e+00
-2.263284111022949219e+01,-6.938819885253906250e+00,3.405464887619018555e+00
-2.282588005065917969e+01,-6.990971088409423828e+00,3.405442476272583008e+00
-2.301892089843750000e+01,-7.043118476867675781e+00,3.405421257019042969e+00
-2.321196174621582031e+01,-7.095261573791503906e+00,3.405400991439819336e+00
-2.340500259399414062e+01,-7.147400856018066406e+00,3.405381917953491211e+00
-2.359804534912109375e+01,-7.199536323547363281e+00,3.405364274978637695e+00
-2.379109001159667969e+01,-7.251668930053710938e+00,3.405348300933837891e+00
-2.398413276672363281e+01,-7.303798675537109375e+00,3.405334234237670898e+00
-2.417717933654785156e+01,-7.355925559997558594e+00,3.405322074890136719e+00
-2.437022399902343750e+01,-7.408050537109375000e+00,3.405312538146972656e+00
-2.456327056884765625e+01,-7.460174083709716797e+00,3.405306577682495117e+00
-2.475631713867187500e+01,-7.512296676635742188e+00,3.405304193496704102e+00
-2.494936370849609375e+01,-7.564419269561767578e+00,3.405308008193969727e+00
-2.514241027832031250e+01,-7.616543292999267578e+00,3.405317783355712891e+00
-2.533545494079589844e+01,-7.668667316436767578e+00,3.405292034149169922e+00
-2.552850532531738281e+01,-7.720779895782470703e+00,3.405202865600585938e+00
-2.572155761718750000e+01,-7.772865772247314453e+00,3.404995441436767578e+00
-2.591463088989257812e+01,-7.824881553649902344e+00,3.404452085494995117e+00
-2.610774612426757812e+01,-7.876759052276611328e+00,3.403549194335937500e+00
-2.630090713500976562e+01,-7.928418636322021484e+00,3.402212142944335938e+00
-2.649416351318359375e+01,-7.979777336120605469e+00,3.400391101837158203e+00
-2.668751907348632812e+01,-8.030733108520507812e+00,3.398041725158691406e+00
